Nest_ID,year,ring,date,time,sex,site,nest,left_tarsus,right_tarsus,left_wing,right_wing,weight,fat,blood,code,moult,observer,comments
2006_C107,2006,CA038,601,1899-12-31 16:50:00,J,C,107,17.2,17.3,,,6.3,,1,MX.XX|GX.XX,,CK,
2006_C107,2006,CA041,601,1899-12-31 16:50:00,J,C,107,17.7,17.7,,,6.1,,1,MX.XX|GX.XX,,CK,
2006_C107,2006,CA038,611,1899-12-31 21:55:00,J,C,107,20.8,20.7,,,8.3,,1,MX.XX|GX.XX,,CK,
2006_C108,2006,CA118,606,1899-12-31 09:30:00,F,C,108,26.2,26.2,111,111,45.75,1,1,YX.MX|RX.YX,,SQ,
2006_C11,2006,802109716,524,1899-12-31 21:00:00,M,C,11,25.9,25.7,110,110,42.75,3,1,XX.YR|XX.WWM,,CK,
2006_C11,2006,CA003,525,1899-12-31 09:55:00,F,C,11,25.6,25.6,110,110,40.75,0,1,RX.MX|YX.GX,,CK,
2006_C110,2006,CA044,602,1899-12-31 10:45:00,F,C,110,26.5,26.4,111,112,40.25,0,1,RX.MX|OX.WX,,CK,
2006_C110,2006,CA058,603,1899-12-31 22:00:00,M,C,110,24.6,24.5,111,111,39.75,3,1,WX.MX|LX.RX,,CK,
2006_C-111,2006,CA074,605,1899-12-31 08:45:00,J,C,111,17.8,17.8,,,5.8,,1,MX.XX|OX.XX,,CK,"chick ringed a few days after hatching, risk of brood mixing"
2006_C112,2006,802109735,607,1899-12-31 20:20:00,M,C,112,25.3,25.3,109,110,44.75,0,1,YX.RX|WX.GM,,SQ,
2006_C112,2006,CA134,609,1899-12-31 08:40:00,F,C,112,24.9,25,104,105,42,3,1,YX.MX|OX.OX,,SQ,
2006_C112,2006,CA145,614,1899-12-31 06:25:00,J,C,112,17.2,17.1,,,5.9,,1,MX.XX|GX.XX,,CK,
2006_C112,2006,CA146,614,1899-12-31 06:25:00,J,C,112,17.7,17.6,,,6,,1,MX.XX|GX.XX,,CK,
2006_C112,2006,CA145,621,1899-12-31 21:00:00,J,C,112,18.8,19,,,6,,1,MX.XX|GX.XX,,CK,
2006_C112,2006,CA146,621,1899-12-31 21:00:00,J,C,112,19.7,19.8,,,6.1,,1,MX.XX|GX.XX,,CK,
2006_C112,2006,CA150,621,1899-12-31 21:00:00,J,C,112,17.6,17.8,,,4.9,,1,MX.XX|GX.XX,,CK,
2006_C112,2006,CA150,614,1899-12-31 10:45:00,J,C,112,15.7,15.8,,,5.6,,1,MX.XX|GX.XX,,CK,
2006_C113,2006,CA140,612,1899-12-31 07:45:00,F,C,113,24.4,24.4,101,101,38,2,1,OX.MX|LX.LX,,SQ,
2006_C113,2006,CA166,615,1899-12-31 22:10:00,M,C,113,24.5,24.4,108,108,36.25,1,1,WX.MX|RX.WX,,CK,
2006_C113,2006,CA269,630,1899-12-31 07:20:00,J,C,113,16.3,16.5,,,5.4,,1,MX.XX|BX.XX,,CK,
2006_C113,2006,CA275,630,1899-12-31 18:00:00,J,C,113,17.4,17.3,,,5.3,,0,MX.XX|BX.XX,,CK,
2006_C12,2006,CA010,527,1899-12-31 09:35:00,F,C,12,22.8,22.9,101,103,35,0,1,RX.MX|RX.OX,,CK,
2006_C12,2006,CA054,602,1899-12-31 23:15:00,M,C,12,25.3,25.3,108,108,37,2,1,WX.MX|LX.WX,,CK,
2006_C12,2006,CA095,608,1899-12-31 07:45:00,J,C,12,17.8,17.8,,,6.8,,1,MX.XX|YX.XX,,CK,
2006_C13,2006,CA008,526,1899-12-31 23:20:00,M,C,13,25.7,25.5,109,110,39.75,2,1,RX.MX|WX.OX,,CK,
2006_C13,2006,CA036,531,1899-12-31 10:00:00,F,C,13,24.3,24.1,112,113,40,0,1,RX.MX|OX.BX,,CK,
2006_C13,2006,CA167,616,1899-12-31 16:45:00,J,C,13,17.5,17.5,,,5.8,,1,MX.XX|WX.XX,,CK,
2006_C13,2006,CA174,617,1899-12-31 16:30:00,J,C,13,17.6,17.6,,,5.9,,1,MX.XX|WX.XX,,CK,
2006_C13,2006,CA175,617,1899-12-31 16:30:00,J,C,13,17.5,17.5,,,6.1,,1,MX.XX|WX.XX,,CK,
2006_C15,2006,CA1526,602,1899-12-31 11:20:00,F,C,15,23,,103,104,38.5,1,1,YX.RX|YX.LM,,CK,Right tarsus stiff
2006_C15,2006,802109768,603,1899-12-31 22:30:00,M,C,15,25.1,25.3,110,110,40,1,1,WX.SX|LX.YM,,CK,Rings changed: previously WX.XX|LX.YM
2006_C16,2006,CA047,602,1899-12-31 17:35:00,F,C,16,23.4,23.5,108,108,34.75,0,1,RX.MX|OX.RX,,CK,both 2nd Primaries broken
2006_C16,2006,CA114,605,1899-12-31 22:00:00,M,C,16,24.9,25,105,106,37.25,0,1,YX.MX|LX.WX,,SQ,
2006_C16,2006,CA157,615,1899-12-31 11:20:00,J,C,16,17.4,17.4,,,5.9,,1,MX.XX|SX.XX,,CK,
2006_C16,2006,CA163,615,1899-12-31 21:15:00,J,C,16,16.3,16.4,,,5.8,,1,MX.XX|SX.XX,,CK,
