"","X","Nest_ID","Female_ID","Male_ID","Female_dur_care","Male_dur_care","Hatching_date","Year","Chick","Chick_ID","Chick_surv_age","Hatching_date_ch","Fate","Cap_date","Cap_age","Chick_weight","Left_tarsus_ch","Right_tarsus_ch","Mean_tarsus_ch","Mean_brood_weight","Mean_brood_tarsus","Chick_CI","Mean_brood_CI","Max_chick_CI"
"48",48,"2007_A-2","15","10",9,9,"2007-06-15",2007,1,"CA1447",9,"2007-06-15","unknown","2007-06-16",-1,6.4,17.8,17.7,17.75,5.65,17.675,6.26971420520116,5.53498207177915,6.26971420520116
"49",49,"2007_A1","CA262","802109735",1.5,15,"2007-05-28",2007,1,"CA1239",15,"2007-05-28","unknown","2007-05-28",0,6.2,17.2,17.2,17.2,6,16.9,6.67347699477854,6.45820354333407,6.67347699477854
"50",50,"2007_A102","CA1210","CA115",1,22,"2007-05-24",2007,1,"CA1231",22,"2007-05-24","unknown","2007-05-24",0,6.1,16.8,17,16.9,6.05,17.3,6.25108747553081,6.19984905360023,6.25108747553081
"51",51,"2007_A106","802109729","CA138",5,26,"2007-06-15",2007,1,"CA1315",26,"2007-06-15","fledged","2007-06-15",0,4.6,17.3,17.2,17.25,5.95,17.85,4.41407925435912,5.70951555726887,7.00495186017861
"52",52,"2007_A110","CA015","CA2073",1.5,10,"2007-06-09",2007,1,"CA1433",8.5,"2007-06-09","died","2007-06-09",0,6,16.4,16.5,16.45,6.03333333333333,17.4333333333333,6.05027195854759,6.08388458053952,6.45362342245076
"53",53,"2007_A112","CA1302","CA1300",1,10,"2007-06-09",2007,1,"CA1435",8.5,"2007-06-09","unknown","2007-06-09",0,6,17.2,17.1,17.15,6.1,17.5333333333333,5.97803399569079,6.07766789561897,6.57583739525987
"54",54,"2007_A113","CA1297","CA1310",6,6,"2007-06-19",2007,1,"CA1322",6,"2007-06-19","died","2007-06-19",0,5.3,17.2,17.2,17.2,5.86666666666667,17.3166666666667,5.42030098714017,5.99983002350107,6.64753894649266
"55",55,"2007_A115","CA1280","CA1425",5,5,"2007-06-15",2007,1,"CA1316",3,"2007-06-15","unknown","2007-06-15",0,5.8,18.7,18.5,18.6,5.525,18.275,5.29724477913019,5.04608231115419,5.93656742488728
"56",56,"2007_A118","CA1298","CA1320",18,18,"2007-06-17",2007,1,"CA1453",17,"2007-06-17","unknown","2007-06-17",0,6.4,17,17,17,6.8,16.75,7.01893835186263,7.45762199885405,7.67696382234976
"57",57,"2007_A119","CA1299","CA1309",1.5,26,"2007-06-17",2007,1,"CA1454",26,"2007-06-17","fledged","2007-06-17",0,6.6,17.7,17.5,17.6,6.46666666666667,17.5333333333333,6.57583739525987,6.44299219535563,6.97437299497259
